outcome,spec_order,spec,spec_label,sample,key_table,corp_union_coef,corp_union_se,corp_union_p,corp_only_coef,corp_only_se,corp_only_p,added_terms,added_1_term,added_1_coef,added_1_se,added_1_p,added_2_term,added_2_coef,added_2_se,added_2_p,nobs,clusters,formula,attenuation_vs_matched_sample_pct,attenuation_vs_a_pct,attenuation_vs_restricted_baseline_pct
atr_top5,6,f_acquirer_no_bans,(f-acq) Acquirer only; no ban terms,full,False,,,,,,,CU x R-trifecta acquirer,CU x R-trifecta acquirer,-0.4280941967738746,0.2113301291928624,0.04861777723381116,,,,,846,47,atr_top5 ~ cu_x_rep_trifecta_acq + C(state) + C(year),,,
atr_top5,7,f_contemporaneous_no_bans,(f-t) R trifecta (t) only; no ban terms,full,False,,,,,,,R trifecta (t),R trifecta (t),-0.16121023357565945,0.1021238291916218,0.12128618273977139,,,,,846,47,atr_top5 ~ rep_trifecta + C(state) + C(year),,,
atr_top5,8,f_lagged_no_bans,(f-lag) R trifecta (t-1) only; no ban terms,full,False,,,,,,,R trifecta (t-1),R trifecta (t-1),-0.20782130804251797,0.10201195786468546,0.047404706028281986,,,,,799,47,atr_top5 ~ rep_trifecta_lag + C(state) + C(year),,,
atr_top5,9,f_redmap_no_bans,(f-map) REDMAP only; no ban terms,full,False,,,,,,,CU x REDMAP,CU x REDMAP,-0.4507716741244135,0.37590242395904166,0.23660187292285198,,,,,846,47,atr_top5 ~ cu_x_redmap + C(state) + C(year),,,
atr_top5,10,f_both_no_bans,(f) Acquirer + REDMAP; no ban terms,full,True,,,,,,,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.3551629193657268,0.1768169759138048,0.050465594777006725,CU x REDMAP,-0.24142767693728853,0.3467372638996386,0.4897543392479732,846,47,atr_top5 ~ cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,,
beta,6,f_acquirer_no_bans,(f-acq) Acquirer only; no ban terms,full,False,,,,,,,CU x R-trifecta acquirer,CU x R-trifecta acquirer,-0.627919045985132,0.22728052496460785,0.008212579882971248,,,,,846,47,beta ~ cu_x_rep_trifecta_acq + C(state) + C(year),,,
beta,7,f_contemporaneous_no_bans,(f-t) R trifecta (t) only; no ban terms,full,False,,,,,,,R trifecta (t),R trifecta (t),-0.3236930206545603,0.11317793186473706,0.00634925282234586,,,,,846,47,beta ~ rep_trifecta + C(state) + C(year),,,
beta,8,f_lagged_no_bans,(f-lag) R trifecta (t-1) only; no ban terms,full,False,,,,,,,R trifecta (t-1),R trifecta (t-1),-0.4063991230856593,0.12148111904742977,0.0016430969966343169,,,,,799,47,beta ~ rep_trifecta_lag + C(state) + C(year),,,
beta,9,f_redmap_no_bans,(f-map) REDMAP only; no ban terms,full,False,,,,,,,CU x REDMAP,CU x REDMAP,-0.6340087561976353,0.30790190984324284,0.045169339736437226,,,,,846,47,beta ~ cu_x_redmap + C(state) + C(year),,,
beta,10,f_both_no_bans,(f) Acquirer + REDMAP; no ban terms,full,True,,,,,,,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.5309318285132554,0.2230412188311168,0.021492028309553473,CU x REDMAP,-0.3210611336999776,0.29063225193498293,0.2750350099568233,846,47,beta ~ cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,,
