state,year,governor_party,lower_chamber_majority_party,upper_chamber_majority_party,rep_trifecta,source,source_url
AL,2009,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2010,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2011,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2012,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2013,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2014,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2015,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2016,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2017,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2018,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2019,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2020,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2021,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2004,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2005,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2006,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2007,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2008,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2009,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2010,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2011,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2012,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2013,Democratic,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2014,Democratic,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2015,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2016,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2017,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2018,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2019,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2020,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AR,2021,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2004,Democratic,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2005,Democratic,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2006,Democratic,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2007,Democratic,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2008,Democratic,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2009,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2010,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2011,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2012,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2013,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2014,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2015,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2016,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2017,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2018,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2019,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2020,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AZ,2021,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2004,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2005,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2006,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2007,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2008,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2009,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2010,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2011,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2012,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2013,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2014,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2015,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2016,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2017,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2018,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2019,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2020,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CA,2021,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2004,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2005,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2006,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2007,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2008,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2009,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2010,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2011,Democratic,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2012,Democratic,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2013,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2014,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2015,Democratic,Democratic,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2016,Democratic,Democratic,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2017,Democratic,Democratic,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2018,Democratic,Democratic,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2019,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2020,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CO,2021,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2004,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2005,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2006,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2007,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2008,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2009,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2010,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2011,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2012,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2013,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2014,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2015,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2016,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2017,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2018,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2019,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2020,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
CT,2021,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DC,2004,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2005,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2006,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2007,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2008,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2009,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2010,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2011,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2012,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2013,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2014,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2015,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2016,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2017,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2018,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2019,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2020,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DC,2021,Democratic,Democratic,Democratic,0,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition
DE,2004,Democratic,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2005,Democratic,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2006,Democratic,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2007,Democratic,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2008,Democratic,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2009,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2010,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2011,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2012,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2013,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2014,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2015,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2016,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2017,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2018,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2019,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2020,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
DE,2021,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2004,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2005,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2006,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2007,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2008,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2009,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2010,Independent,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2011,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2012,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2013,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2014,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2015,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2016,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2017,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2018,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2019,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2020,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
FL,2021,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2004,Republican,Democratic,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2005,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2006,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2007,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2008,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2009,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2010,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2011,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2012,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2013,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2014,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2015,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2016,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2017,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2018,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2019,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2020,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
GA,2021,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2004,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2005,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2006,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2007,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2008,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2009,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2010,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2011,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
HI,2012,Democratic,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
